Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,date,N,license,S,type,org,key,exclusion,month,status,candidates,epoch_model,epoch_row,publication_date,D,C,N_epoch,epoch_org,base_model,dataset_notes,compute_notes,confidence,parameter_notes,source,is_moe,training_from_scratch,eligible_nd,lag_days
google/gemma-7b,8.538,2024-06-08,gemma,🟢 pretrained,15.442818570272308,26.593217108383534,21.11609932329174,7.401812688821751,4.921700223713646,10.979947916666667,21.644134160756497,2024-06-08,8.538,gemma,15.442818570272303,pretrained,google,gemma7b,,2024-06-01,accepted,1,Gemma 7B,1474.0,2024-02-21,6000.0,3.07e+23,8.538074112,Google DeepMind,,"""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""
Not explicitly stated that this doesn't involve multiple epochs, but I expect it does not.","6ND aproximation 6*8.54B*6T = 3.07e23
""Gemma 2B and 7B are trained on 2T and 6T tokens respectively of primarily-English data from web documents, mathematics, and code.""

As confirmation: ""We estimate the carbon emissions from pretraining the Gemma models to be ∼ 131 𝑡𝐶𝑂2𝑒𝑞. ""

U.S. avg CO2 per kWh is ~0.87lbs 
131 tCO2 * 2000 lb/t * (1 kWh/0.87lb) = 3.01e5 kWh

Per SemiAnalysis TPU v5e uses ~ 5x less power than H100, so ~140 W TDP
3.01e5 kWh * 1000 W/kW * 1 TPUv5e/140 W  = 2.15e6 TPUv5e-hours

In bf16 precision, TPUv5e has peak performance of 197 TF/s, so:
2.15e6 * 3600 * 197e12 * 0.3 = 4.57e23",Confident,"Table 2, sum of embedding and non-embedding parameters",Gemma: Open Models Based on Gemini Research and Technology,False,True,True,108
mosaicml/mpt-7b,7.0,2024-06-08,apache-2.0,🟢 pretrained,6.032029339143736,21.51990053059216,6.550600790794161,1.5861027190332326,1.342281879194629,2.904947916666668,2.288342198581559,2024-06-08,7.0,apache-2.0,6.032029339143736,pretrained,mosaicml,mpt7b,,2024-06-01,accepted,1,MPT-7B,1952.0,2023-05-05,,4.2e+22,7.0,MosaicML,,,"""As shown in Table 3, nearly all of the training budget was spent on the base MPT-7B model, which took ~9.5 days to train on 440xA100-40GB GPUs, and cost ~$200k.""",Confident,,"""Introducing MPT-7B: A New Standard for Open-Source, Commercially Usable LLMs""",False,True,False,400
EleutherAI/gpt-neox-20b,20.739,2024-06-09,apache-2.0,🟢 pretrained,6.1165221524743325,25.86880587951081,4.929114201526899,1.3595166163141994,0.0,2.816666666666666,1.725029550827422,2024-06-09,20.739,apache-2.0,6.1165221524743325,pretrained,eleutherai,gptneox20b,,2024-06-01,accepted,1,GPT-NeoX-20B,2304.0,2022-02-09,341.173367965,9.31627008e+22,20.0,EleutherAI,,"""In aggregate, the Pile consists of over 825GiB of raw text data""

Figure 4",Trained for 3 months on 96 A100s (according to correspondence with author). Let's say 0.4 utilization rate.,Confident,,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,False,True,True,851
EleutherAI/pythia-160m,0.213,2024-06-09,apache-2.0,🟢 pretrained,5.730394616916023,18.155161637787735,2.198832279508135,0.906344410876133,1.1185682326621946,10.675520833333332,1.3279403073286051,2024-06-09,0.213,apache-2.0,5.730394616916023,pretrained,eleutherai,pythia160m,,2024-06-01,accepted,1,Pythia-160m,1993.0,2023-04-03,299.892736,2.87900000001e+20,0.16,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,"""We train all models for 299,892,736,000 ≈ 300B tokens""","https://www.wolframalpha.com/input?i=6+FLOP+*+160+million+*+299892736000

Table 5 gives confirmation:
1030 GPU-hours * 3600 sec/hr * 3.12e14 FLOP/sec * 0.3 (utilization assumption) = 3.5e20",Confident,See Table 1 for non-embedding parameters,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,False,True,True,433
EleutherAI/pythia-410m,0.506,2024-06-09,apache-2.0,🟢 pretrained,5.227072311484412,21.954525104500505,2.7154281203357473,0.9818731117824772,1.230425055928408,3.0598958333333326,1.4202866430260035,2024-06-09,0.506,apache-2.0,5.227072311484412,pretrained,eleutherai,pythia410m,,2024-06-01,accepted,1,Pythia-410m,1997.0,2023-04-03,299.892736,7.37700000001e+20,0.41,"EleutherAI,Booz Allen Hamilton, McLean,University of Cambridge,Indraprastha Institute of Information Technology
Delhi,Stability AI,datasaur.ai,University of Amsterdam",,"""We train all models for 299,892,736,000 ≈ 300B tokens""",https://www.wolframalpha.com/input?i=6+FLOP+*+410+million+*+299892736000,Confident,See Table 1 for non-embedding parameters,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,False,True,True,433
Qwen/Qwen2-1.5B,1.544,2024-06-09,apache-2.0,🟢 pretrained,10.445452935561454,21.132705665412217,11.781833653483533,7.02416918429003,1.9015659955257265,3.5932291666666667,17.239213947990542,2024-06-09,1.544,apache-2.0,10.445452935561454,pretrained,qwen,qwen21.5b,,2024-06-01,accepted,1,Qwen2-1.5B,1204.0,2024-06-07,7000.0,6.3e+22,1.5,Alibaba,,"""All models were pre-trained on a high-quality, large-scale dataset comprising over 7 trillion tokens, covering a wide range of domains and languages.""",6 FLOP / parameter / token * 1.5 * 10^9  parameters * 7 * 10^12 tokens = 6.3e+22 FLOP,Confident,1.5B,Hello Qwen2,False,True,True,2
Qwen/Qwen2-7B,7.616,2024-06-09,apache-2.0,🟢 pretrained,23.9251621404824,31.48667757106699,34.711136202753416,20.39274924471299,7.270693512304249,14.322916666666666,35.366799645390074,2024-06-09,7.616,apache-2.0,23.9251621404824,pretrained,qwen,qwen27b,,2024-06-01,accepted,1,Qwen2-7B,1202.0,2024-06-07,7000.0,2.9400000000001e+23,7.0,Alibaba,,"""All models were pre-trained on a high-quality, large-scale dataset comprising over 7 trillion tokens, covering a wide range of domains and languages.""","7 billion params, 7 trillion tokens

6 FLOP * 7 billion * 7 trillion ~= 2.94e23 FLOP",Confident,7B parameters (table 1),Hello Qwen2,False,True,True,2
bigcode/starcoder2-15b,15.958,2024-06-09,bigcode-openrail-m,🟢 pretrained,12.539175421645837,27.802231412651764,20.373540752678547,5.966767371601208,3.1319910514541416,2.9283854166666674,15.032136524822691,2024-06-09,15.958,bigcode-openrail-m,12.539175421645837,pretrained,bigcode,starcoder215b,,2024-06-01,accepted,1,StarCoder 2 15B,1447.0,2024-02-29,913.23,3.87e+23,15.0,"Hugging Face,ServiceNow,NVIDIA,BigCode",,from Table 4,estimation is given in Table 6 ,Confident,15B,StarCoder 2 and The Stack v2: The Next Generation,False,True,True,101
bigcode/starcoder2-3b,3.03,2024-06-09,bigcode-openrail-m,🟢 pretrained,6.549147626379535,20.370838264693234,8.909299421083569,1.5105740181268883,0.0,1.432291666666666,7.0718823877068555,2024-06-09,3.03,bigcode-openrail-m,6.549147626379535,pretrained,bigcode,starcoder23b,,2024-06-01,accepted,1,StarCoder 2 3B,1449.0,2024-02-29,622.09,5.94e+22,3.0,"Hugging Face,ServiceNow,NVIDIA,BigCode",,from Table 4,estimation is given in Table 6 ,Confident,3B,StarCoder 2 and The Stack v2: The Next Generation,False,True,True,101
bigcode/starcoder2-7b,7.174,2024-06-09,bigcode-openrail-m,🟢 pretrained,8.2934383764798,22.09193827932109,11.395110106503443,3.096676737160121,0.2237136465324418,5.8166666666666655,7.1365248226950335,2024-06-09,7.174,bigcode-openrail-m,8.293438376479799,pretrained,bigcode,starcoder27b,,2024-06-01,accepted,1,StarCoder 2 7B,1448.0,2024-02-29,658.58,1.55e+23,7.0,"Hugging Face,ServiceNow,NVIDIA,BigCode",,from Table 4,estimation is given in Table 6 ,Confident,7B,StarCoder 2 and The Stack v2: The Next Generation,False,True,True,101
